,text,title,observer,event,year
157," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 November 26, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
158," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy PGC 37789. We discovered ATLAS21bqr (AT2021aek) on MJD 59227.57 == 2021-01-13.57, at m_c = 18.61 +/- 0.09. There was no detection by ATLAS on MJD 59223.59 == 2021-01-09.59. ATLAS21bqr is offset by 6.2 arcsec north, 2.2 arcsec west from its likely host galaxy PGC 037789, which is at z = 0.022 or d = 98 Mpc (from NED), implying an absolute magnitude of M = -16.5 (assuming m-M = 34.96 and A_g = 0.16 and A_r = 0.11). A finder and forced photometry plot are attached, followup observations are encouraged.  
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21bqr (AT2021aek): discovery of a candidate supernova in PGC 037789 (98 Mpc),ATLAS,,2021
159," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy WISEA J120604.02+203213.0. We discovered ATLAS21dmw (AT2021bsf) on MJD 59249.62 == 2021-02-04.62, at m_o = 17.16 +/- 0.06. There was no detection by ATLAS on MJD 59237.62 == 2021-01-23.62. ATLAS21dmw is offset by 0.5 arcsec from the core of the likely host WISEA J120604.02+203213.0, which is at z = 0.024 or d = 104 Mpc (from NED), implying an absolute magnitude of M = -18.0 (assuming m-M = 35.08 and A_r = 0.07 and A_i = 0.05). A finder and forced photometry plot are attached, followup observations are encouraged.  
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21dmw (AT2021bsf): discovery of a candidate supernova in WISEA J120604.02+203213.0 (104 Mpc),ATLAS,,2021
160," The adH0cc programme for an ""accurate determination of H0 with core-collapse supernovae"" reports the classification of the optical transient SN 2021ckj. The target was supplied by the Zwicky Transient Facility ZTF (Kulkarni 2018, 2018ATel11266....1K) and the ATLAS survey (Tonry et al. 2018, 2018PASP..130f4505T). The observations were performed on the night of 2021 February 16 with the ESO Very Large Telescope UT1, equipped with the FORS2 spectrograph and grism 300V, covering a wavelength range from 3400 to 9600 Å at a resolution of 10 Å.

"," adH0cc spectroscopic classification of SN 2021ckj, an unusual ""Type Icn"" supernova ",ZTF,,2021
161," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy NGC 4227. We discovered ATLAS21dfz (AT2021biz) on MJD 59243.54 == 2021-01-29.54, at m_o = 18.34 +/- 0.16. There was no detection by ATLAS on MJD 59238.56 == 2021-01-24.56. ATLAS21dfz is offset by 16.5 arcsec north, 12.8 arcsec east from NGC 4227, which is at z = 0.022 or d = 97 Mpc (redshift independent, from NED), implying an absolute magnitude of M = -16.61 (assuming m-M = 34.93 and A_r = 0.03 and A_i = 0.02). Followup observations are encouraged.
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21dfz (AT2021biz): discovery of a candidate SN in NGC 4227 (97 Mpc),ATLAS,,2021
162," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey, see Tonry et al. (2018, PASP, 130,  064505), and the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S)
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2010 Jan 01, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al., 2008, A&A, 488, 383).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.
The spectrum of SN2019yzw displays similarities to SN2004aw (Ic), SN2002ic (Ic/Ia-CSM), and PTF11kx (Ia-CSM), although we cannot rule out the narrow emission being solely from the host.
We took acquisition images (30s and 60s in V) of AT2019zel and did not detect the transient. The images were taken in twilight and have detection limits of around V ~ 20. This indicates the object has faded from c = 19.2 +/- 0.2, when it was discovered (MJD  58846.6)  to fainter than 20 on 58850.4. Further data will be taken to confirm if the transient is visible.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2020
163," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy NGC 0234. We discovered ATLAS21bkkb (AT2021abze) on MJD 59509.42 == 2021-10-22.42, at m_o = 16.62 +/- 0.06. There was no detection by ATLAS on MJD 59501.34 == 2021-10-14.34. ATLAS21bkkb is offset by 1.1 arcsec north, 1.8 arcsec west from its likely host galaxy NGC 0234, which is at z = 0.015 or d = 57 Mpc (from NED), implying an absolute magnitude of M = -17.3 (assuming m-M = 33.78 and A_r = 0.21 and A_i = 0.16). A finder and forced photometry plot are attached, followup observations are encouraged.  
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21bkkb (AT2021abze): discovery of a candidate supernova in NGC 0234 (57 Mpc),ATLAS,,2021
164," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S), and the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 Jan 19, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
165," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the Pan-STARRS Survey for Transients (Chambers et al. 2016 2016arXiv161205560C), the ATLAS survey (Smith et al. 2020 2020arXiv200309052S), the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and by the ALeRCE broker (Forster et al. 2020 https://arxiv.org/abs/2008.03303).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 Aug 2, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
166," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy ABELL S0753:[WFC91] 065. We discovered ATLAS21dgc (AT2021bjb) on MJD 59243.60 == 2021-01-29.60, at m_o = 18.08 +/- 0.19. There was no detection by ATLAS on MJD 59231.67 == 2021-01-17.67. ATLAS21dgc is offset by 4.3 arcsec south, 2.7 arcsec west from its likely host galaxy ABELL S0753:[WFC91] 065, which is at z = 0.015 or d = 57 Mpc (from NED), implying an absolute magnitude of M = -15.8 (assuming m-M = 33.78 and A_r = 0.16 and A_i = 0.12). Forced photometry plot is attached, followup observations are encouraged.  
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21dgc (AT2021bjb): discovery of a candidate supernova in ABELL S0753:[WFC91] 065 (57 Mpc),ATLAS,,2021
167," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T), the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K), data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S), the PMO-Tsinghua Transient Survey PTSS and by the ESA Gaia Photometric Science Alerts Team DPAC.
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on 2019 May 13 (UTC), using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B), GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
168," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2020 March 21, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2020
169," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy WISEA J092602.94+243114.9. We discovered ATLAS20bkgn (AT2020able) on MJD 59185.53 == 2020-12-02.53, at m_o = 18.95 +/- 0.18. There was no detection by ATLAS on MJD 59183.54 == 2020-11-30.54. ATLAS20bgkn is offset by 2.5 arcsec north, 9.2 arcsec west from its likely host galaxy WISEA J092602.94+243114.9, which is at z = 0.025 or d = 108 Mpc (from NED), implying an absolute magnitude of M = -16.3 (assuming m-M = 35.16 and A_r = 0.07 and A_i = 0.06). A finder and forced photometry plot are attached, followup observations are encouraged.  
This work has made use of data from the Asteroid Terrestrial-impact Last Alert System (ATLAS) project. ATLAS is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area.  The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, and the Space Telescope Science Institute. 

", ATLAS20bgkn (AT2020able): discovery of a candidate supernova in WISEA J092602.94+243114.9 (108 Mpc),ATLAS,,2020
170," The Recommender Engine For Intelligent Transient Tracking (REFITT) collaboration reports the following 6 classifications from SOAR AEON observations with the Goodman Spectrograph (Clemens et al. 2004). Targets were selected from the Zwicky Transient Facility (ZTF; Bellm et al. 2019) processed through the Antares data broker (Narayan et al. 2018). Classifications, and the associated redshifts, were made using SNID (Blondin and Tonry 2007) and DASH (Muthukrishna et al. 2019), unless otherwise noted. 

", REFITT classifications of optical transients using SOAR,ZTF,,2021
171," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Smith et al. 2020 2020arXiv200309052S) and the Zwicky Transient Facility ZTF (Bellm et al. 2019 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and by the ALeRCE broker (""Forster et al. 2020 https://arxiv.org/abs/2008.03303).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 January 06, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
172," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classification: one type Ia at redshift z = 0.024. The redshift was measured from the host H alpha emission line in the spectrum. 
The target was supplied the ATLAS survey (Smith et al. 2020 2020arXiv200309052S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 December 14, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). The classification was done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H).
The classification spectrum and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified object is listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of one optical transient,PESSTO,,2021
173," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the Pan-STARRS Survey for Transients (Chambers et al. 2016; 2016arXiv161205560C), the ATLAS survey (Smith et al. 2020; 2020arXiv200309052S), and the Zwicky Transient Facility ZTF (Bellm et al. 2019; 2019PASP..131a8002B) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019; 2019RNAAS...3a..26S) and by the ALeRCE broker (Forster et al. 2020; https://arxiv.org/abs/2008.03303).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2021 April 11, using EFOSC2 and Grism 13 (3985-9315Å, 18Å resolution). Classifications were done using SNID (Blondin & Tonry 2007; 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008; 2008A&A...488..383H) and Superfit (Howell et al. 2005; 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2021
174," We are carrying out the ""Pan-STARRS Search for Kilonovae"" which is a focused search for intrinsically faint transients, or rapidly evolving transients in galaxies which are closer than 200 Mpc in the ongoing Pan-STARRS Near Earth Object surveys (see Smartt et al. AstroNote 2019-48 for details). In normal survey mode, Pan-STARRS takes 4 x 45s exposures in w, i or z each night reaching 5 sigma magnitudes of w<22, i<21 and z<20.5 in each frame (see Chambers et al. 2016, arXiv:1612.05560). 
We report the discovery of a (possible) intrinsically faint transient PS20kxg (AT2020zck) with PS2.  It is offset from a possible host (14.6"" N, 54.2"" E) 2MASXJ00085765-0836093 which has a redshift of z = 0.108, or d = 75 Mpc (from NED).  The transient was discovered at MJD 59161.275 (2020-11-08 06:36 UTC) at mag w = 20.5 +/- 0.1. At this distance the absolute magnitude is M_w = -14.0 +/- 0.1 (assuming m-M = 34.4 and foreground exinction of  A_w = 0.1). 
ZTF detected AT2020zck (see lightcurve on Lasair, object ZTF20acppuiq ) on 59164.3 at r = 20.2 +/- 0.3 and g = 19.9 +/- 0.3, and the recent lightcurve points are given below. The uncertainties on the ZTF magnitudes are large, but could imply a large colour change. Non-detections by PS1, ATLAS and ZTF imply this is not a normal, old supernova in 2MASXJ00085765-0836093 . Given it is offset from the host (22 kpc projected), intrinsically faint and (possibly) an unusual colour change, follow-up is encouraged.
It could also be a background SN or foreground galactic outburst. There is no obvious distant host galaxy in the  PS1 3Pi grizy stacks, but a faint source marginally detected, is visible in our w-band reference stack. This could imply a background galaxy or satellite of 2MASXJ00085765-0836093. 

59111.478 w   PS2    >21
59158.227 r   ZTF    >19.8
59158.195 g   ZTF    >19.8
59160.400 o   ATLAS  >19.7 
59161.275 w   PS2    20.50 +/- 0.1
59164.253 g   ZTF    19.86 +/- 0.31
59164.277 r   ZTF    20.19 +/- 0.28
59165.171 g   ZTF    20.65 +/- 0.25
59165.212 r   ZTF    20.30 +/- 0.17
59167.372 w   PS1    20.35 +/- 0.07
The discoveries from this program are a byproduct of the Pan-STARRS NEO survey observations. Operation of the Pan-STARRS1 and Pan-STARRS2 telescopes is primarily supported by the National Aeronautics and Space Administration under Grant No. NNX12AR65G and Grant No. NNX14AM74G issued through the SSO Near Earth Object Observations Program. Data are processed at Queen's University Belfast enabled through the STFC grants ST/P000312/1 and ST/T000198/1. 
 

", Pan-STARRS Search for Kilonovae: discovery of a faint transient offset from 2MASXJ00085765-0836093 (75 Mpc),Pan-STARRS,,2020
175," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T), the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S). 
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2019 August 21, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
176," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP, 13, 064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues. More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy IC 2995. We discovered ATLAS19bbmq (AT2019vsa) on MJD 58815.62 == 2019-11-28.62, at m_o = 14.66 +/- 0.01. ATLAS19bbmq is offset by 14.23 arcsec south, 9.48 arcsec east from IC 2995, which is at z = 0.006 or d = 30 Mpc (from NED), implying an absolute magnitude of M = -17.8 (assuming m-M = 32.38 and A_r = 0.15 and A_i = 0.11). The object has emerged from behind the sun, and given the absolute magnitude, the transient may be near or at peak. Followup observations are encouraged.  
This work has made use of data from the Asteroid Terrestrial-impact Last Alert System (ATLAS) project. ATLAS is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area.  The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, and the Space Telescope Science Institute. 

", ATLAS19bbmq (AT2019vsa): discovery of a candidate SN in IC 2995 (30 Mpc),ATLAS,,2019
177," The Spectral Classification of Astronomical Transients (SCAT) survey (ATel #11444) presents the classification of 7 optical transients. We report optical spectroscopy (330-970nm, R~1200) taken with the University of Hawaii 88-inch (UH88) telescope using the SuperNova Integral Field Spectrograph (SNIFS). Transients were classified using the SuperNova IDentification code (SNID, Blondin & Tonry 2007, ApJ, 666, 1024). Additionally, we use photometry from the All-Sky Automated Survey for SuperNovae (ASAS-SN, Shappee et al. 2014, ApJ, 788, 48) to more accurately constrain the phase of each object. Redshifts given to 2 decimal places are derived supernova lines (via SNID), otherwise the redshifts are taken from NED or measured from narrow host galaxy emission lines. 

", SCAT classification of optical transients,ZTF,,2019
178," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the Pan-STARRS Survey for Transients (Chambers et al. 2016 2016arXiv161205560C), the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T), the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S), and the All Sky Automated Survey for SuperNovae ASAS-SN (see Shappee et al. 2014 2014ApJ...788...48S).
 
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2019 October 27, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B), Superfit (Howell et al. 2005 2005ApJ...634.1190H) and astroDASH (Muthukrishna et al. 2019 2019arXiv190302557M).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
